condFiles,audio,imageLoc,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,instructions.started,instructions.stopped,stimulitrain1r1.started,stimulitrain1r1.stopped,image.started,image.stopped,sound_1.started,sound_1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/17_cracker.png,0,0,0,0,0,0,0,0,14.800799415213987,None,17.75196946421638,19.751550726534333,17.771195905806962,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/26_pineapple.png,0,0,0,0,0,1,1,1,,,20.71782270745025,22.717359981499612,20.715075992047787,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/100_bicycle.png,0,0,0,0,0,2,2,2,,,23.733564639661925,25.732991471188143,23.73397582571488,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/21_cheese.png,0,0,0,0,0,3,3,3,,,26.732883105368817,28.732284638972487,26.725740021676756,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/01_gift.png,0,0,0,0,0,4,4,4,,,29.682023843523346,31.68158377247164,29.683040481235366,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block1Condition.xlsx,wavaudio/pakito1.wav,pngimages/23_lemon.png,0,0,0,0,0,5,5,5,,,32.681226769293424,34.680929424008355,32.681245081999805,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block1Condition.xlsx,,,0,0,0,0,,,,,,,,,,,35.696859958127604,37.69686902005924,35.6901439189096,None,35.6901439189096,None,-0.05925925925925926,-0.3685185185185185,1,0,0,2.7472727299900725,0.013157199195120484,None,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/20_pizza.png,0,1,1,1,0,0,0,0,,,38.46338367247954,40.46238761290442,38.46585192164639,None,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/07_suitcase.png,0,1,1,1,0,1,1,1,,,41.478872625221264,43.47833173995605,41.483311660180334,41.483311660180334,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
autoConditions/train1Block2Condition.xlsx,wavaudio/pakito1.wav,pngimages/100_bicycle.png,0,1,1,1,0,2,2,2,,,44.511301764531524,46.51081695005996,44.51186134008458,44.51186134008458,,,,,,,,,,,,,,,,1,001,2020_Jul_02_2249,sonority,2020.1.3,59.97649344130563,
