condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,instructions.started,instructions.stopped,text.started,text.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/17_cracker.png,,,,,0,0,0,0,0,0,0,0,,,,,10.052029952814337,None,17.565574550419115,None,19.532115104899276,None,19.55095309083117,None,,,,,,,,,,,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/26_pineapple.png,,,,,0,0,0,0,0,1,1,1,,,,,,,21.514819312258624,None,23.531144343316555,None,23.525332309363876,None,,,,,,,,,,,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/100_bicycle.png,,,,,0,0,0,0,0,2,2,2,,,,,,,25.513699783594348,None,27.5633413833566,None,27.56222162814811,None,,,,,,,,,,,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/21_cheese.png,,,,,0,0,0,0,0,3,3,3,,,,,,,29.5127014585305,None,31.545515051140683,None,31.545782492030412,None,,,,,,,,,,,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/01_gift.png,,,,,0,0,0,0,0,4,4,4,,,,,,,33.51155851985095,None,35.51097058792948,None,35.51505530055147,None,,,,,,,,,,,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/23_lemon.png,,,,,0,0,0,0,0,5,5,5,,,,,,,37.510327604657505,None,39.509840109414654,None,39.5101467432105,None,,,,,,,,,,,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,wavaudio/pakito1.wav,pngimages/100_bicycle.png,wavaudio/pakito1.wav,pngimages/23_lemon.png,0,0,0,0,,,,,0,0,0,2,,,,,,,,,41.542896902159555,43.54273314517923,41.541286631079856,None,41.541286631079856,None,j,3.0533563959761523,41.541286631079856,None,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,wavaudio/pakito1.wav,pngimages/17_cracker.png,wavaudio/pakito1.wav,pngimages/21_cheese.png,0,0,0,0,,,,,0,1,1,0,,,,,,,,,44.65940944015165,46.65877861500485,44.66547955095302,None,44.66547955095302,None,j,2.7357459270278923,44.66547955095302,None,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,wavaudio/pakito1.wav,pngimages/26_pineapple.png,wavaudio/pakito1.wav,pngimages/01_gift.png,0,0,0,0,,,,,0,2,2,1,,,,,,,,,47.47533699136693,None,47.47592805715976,None,47.47592805715976,None,f,1.8708788885269314,47.47592805715976,None,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1633,sonority,2020.1.3,60.19350570440206,
