condFiles,testFiles,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,instructions.started,instructions.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/18_popata.wav,pngimages/18_donut.png,trainaudio/22_kakoki.wav,pngimages/22_egg.png,0.5,-0.5,0,0,0,0,,,,,0,0,0,0,12.27411069379923,None,16.125153628114276,None,16.162632658231814,None,16.162632658231814,None,f,0.20050172913033748,18.127146121056285,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/10_tokiti.wav,pngimages/100_bicycle.png,trainaudio/24_takopa.wav,pngimages/24_banana.png,-0.5,0.5,0,0,0,0,,,,,0,1,1,1,,,18.477570011942046,None,18.483207668208706,None,18.483207668208706,None,f,0.1653357579052681,20.47940845199082,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/01_pitito.wav,pngimages/01_gift.png,trainaudio/27_pakapa.wav,pngimages/27_kiwi.png,-0.5,0.5,0,0,0,0,,,,,0,2,2,2,,,20.679490689049274,None,20.684229325855995,None,20.684229325855995,None,f,3.153287915418332,22.681267205876793,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/15_kopota.wav,pngimages/15_barrel.png,trainaudio/04_kitoti.wav,pngimages/04_ladder.png,0.5,-0.5,0,1,1,1,,,,,0,0,0,0,,,25.90064607820241,None,25.903744882365572,None,25.903744882365572,None,f,-0.2183307085197157,27.902198689718716,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/06_titoka.wav,pngimages/06_tent.png,trainaudio/02_kitipi.wav,pngimages/02_pallet.png,0.5,-0.5,0,1,1,1,,,,,0,1,1,1,,,27.935566244442455,None,27.929928965757426,None,27.929928965757426,None,f,-0.5658487389373477,29.92047208149961,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/23_patoko.wav,pngimages/23_lemon.png,trainaudio/16_kotapi.wav,pngimages/16_icecream.png,-0.5,0.5,0,1,1,1,,,,,0,2,2,2,,,29.95383963622335,None,29.9462823600752,None,29.9462823600752,None,f,-0.413118887678138,31.938774169406315,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainaudio/05_titopo.wav,pngimages/05_megaphone.png,trainaudio/19_papipi.wav,pngimages/19_burger.png,0.5,-0.5,0,2,2,2,,,,,0,0,0,0,,,31.98882550149192,None,31.990579741062902,None,31.990579741062902,None,f,-0.47884245864042896,33.99057143428763,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainaudio/20_tatito.wav,pngimages/20_pizza.png,trainaudio/13_kopopi.wav,pngimages/13_toast.png,-0.5,0.5,0,2,2,2,,,,,0,1,1,1,,,34.02393898901137,None,34.02833553777418,None,34.02833553777418,None,f,-0.6558696229221823,36.02566226697127,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,trainaudio/14_pokoto.wav,pngimages/14_coffee.png,trainaudio/08_tipako.wav,pngimages/08_bell.png,-0.5,0.5,0,2,2,2,,,,,0,2,2,2,,,36.059029821695006,None,36.058673008006735,None,36.058673008006735,None,f,-0.6032220464785496,38.04448617129856,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block3.xlsx,autoConditions/train1Block3Test.xlsx,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,trainaudio/12_pokika.wav,pngimages/12_pie.png,trainaudio/03_kikita.wav,pngimages/03_box.png,0.5,-0.5,0,3,3,3,,,,,0,0,0,0,,,38.17795639019351,None,38.18323912067535,None,38.18323912067535,None,f,-0.6973740400480892,40.179195232212805,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,trainaudio/17_kotako.wav,pngimages/17_cracker.png,trainaudio/07_pitapi.wav,pngimages/07_suitcase.png,0.5,-0.5,0,3,3,3,,,,,0,1,1,1,,,40.212562786936545,None,40.21757479211374,None,40.21757479211374,None,f,-0.6452460145428631,42.213983245237614,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,trainaudio/11_tokiko.wav,pngimages/11_compass.png,trainaudio/25_tapapi.wav,pngimages/25_apple.png,-0.5,0.5,0,3,3,3,,,,,0,2,2,2,,,42.24735079996135,None,42.24810143023751,None,42.24810143023751,None,f,-0.6309553431619861,44.232597214737325,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block4.xlsx,autoConditions/train1Block4Test.xlsx,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block5.xlsx,autoConditions/train1Block5Test.xlsx,trainaudio/21_papika.wav,pngimages/21_cheese.png,trainaudio/09_tipata.wav,pngimages/09_plane.png,-0.5,0.5,0,4,4,4,,,,,0,0,0,0,,,44.332699878908535,None,44.330464979208045,None,44.330464979208045,None,f,-0.6950368159996287,46.317890034173615,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block5.xlsx,autoConditions/train1Block5Test.xlsx,trainaudio/09_tipata.wav,pngimages/09_plane.png,trainaudio/03_kikita.wav,pngimages/03_box.png,0.5,-0.5,0,4,4,4,,,,,0,1,1,1,,,46.384625143621086,None,46.38619248078248,None,46.38619248078248,None,f,4.770215005733917,48.3861690707854,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block5.xlsx,autoConditions/train1Block5Test.xlsx,trainaudio/18_popata.wav,pngimages/18_donut.png,trainaudio/26_kapako.wav,pngimages/26_pineapple.png,-0.5,0.5,0,4,4,4,,,,,0,2,2,2,,,53.189778061884866,None,53.19716316127051,None,53.19716316127051,None,f,0.36085644347076595,55.19169201805744,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block5.xlsx,autoConditions/train1Block5Test.xlsx,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,trainaudio/01_pitito.wav,pngimages/01_gift.png,trainaudio/13_kopopi.wav,pngimages/13_toast.png,0.5,-0.5,0,5,5,5,,,,,0,0,0,0,,,55.60856632260202,None,55.610006415094176,None,55.610006415094176,None,f,1.6340552800684236,57.61019445024431,None,1,001,2020_Jul_05_2128,sonority,2020.1.3,59.833249367088875,
