correctAudio,incorrectAudio,imageLoc,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,testLoop.thisRepN,testLoop.thisTrialN,testLoop.thisN,testLoop.thisIndex,instructions.started,instructions.stopped,notice.started,notice.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
trainingaudio/11_tokiko1.wav,trainingaudio/11_tokiko2.wav,pngimages/11_compass.png,,,,,,,,,0,0,0,10,10.875460695555375,None,12.869375228672652,None,14.813797249022173,None,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/15_kopota3.wav,trainingaudio/15_kopota2.wav,pngimages/15_barrel.png,,,,,,,,,0,1,1,14,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/48_pakipa1.wav,novelaudio48_pakipa3.wav,pngimages/48_brush.png,,,,,,,,,0,2,2,47,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/06_titoka3.wav,trainingaudio/06_titoka1.wav,pngimages/06_tent.png,,,,,,,,,0,3,3,5,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/09_tipata2.wav,trainingaudio/09_tipata3.wav,pngimages/09_plane.png,,,,,,,,,0,4,4,8,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/63_pitapa2.wav,novelaudio63_pitapa1.wav,pngimages/63_chair.png,,,,,,,,,0,5,5,62,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/53_patapo1.wav,novelaudio53_patapo3.wav,pngimages/53_hammer.png,,,,,,,,,0,6,6,52,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/74_tatiko1.wav,novelaudio74_tatiko2.wav,pngimages/74_boat.png,,,,,,,,,0,7,7,73,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/02_pitito3.wav,trainingaudio/02_pitito2.wav,pngimages/02_pallet.png,,,,,,,,,0,8,8,1,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/37_kokiti1.wav,novelaudio37_kokiti2.wav,pngimages/37_mug.png,,,,,,,,,0,9,9,36,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/71_kotato2.wav,novelaudio71_kotato3.wav,pngimages/71_eye.png,,,,,,,,,0,10,10,70,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/24_takopa1.wav,trainingaudio/24_takopa2.wav,pngimages/24_banana.png,,,,,,,,,0,11,11,23,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/79_katapi1.wav,novelaudio79_katapi3.wav,pngimages/79_pig.png,,,,,,,,,0,12,12,78,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/47_takiko1.wav,novelaudio47_takiko2.wav,pngimages/47_notebook.png,,,,,,,,,0,13,13,46,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/57_tipipa3.wav,novelaudio57_tipipa2.wav,pngimages/57_flashlight.png,,,,,,,,,0,14,14,56,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/38_kokiko1.wav,novelaudio38_kokiko3.wav,pngimages/38_plate.png,,,,,,,,,0,15,15,37,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/23_patoko1.wav,trainingaudio/23_patoko2.wav,pngimages/23_lemon.png,,,,,,,,,0,16,16,22,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/75_kakita1.wav,novelaudio75_kakita3.wav,pngimages/75_chicken.png,,,,,,,,,0,17,17,74,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/72_topata2.wav,novelaudio72_topata3.wav,pngimages/72_nose.png,,,,,,,,,0,18,18,71,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/39_kotipa3.wav,novelaudio39_kotipa1.wav,pngimages/39_fork.png,,,,,,,,,0,19,19,38,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/10_tokiti1.wav,trainingaudio/10_tokiti2.wav,pngimages/100_bicycle.png,,,,,,,,,0,20,20,9,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/67_tokoki1.wav,novelaudio67_tokoki2.wav,pngimages/67_laptop.png,,,,,,,,,0,21,21,66,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/40_kototi1.wav,novelaudio40_kototi2.wav,pngimages/40_spoon.png,,,,,,,,,0,22,22,39,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/36_pipapa2.wav,novelaudio36_pipapa1.wav,pngimages/36_microwave.png,,,,,,,,,0,23,23,35,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/81_kakapa1.wav,novelaudio81_kakapa3.wav,pngimages/81_cat.png,,,,,,,,,0,24,24,80,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/13_kopopi1.wav,trainingaudio/13_kopopi3.wav,pngimages/13_toast.png,,,,,,,,,0,25,25,12,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/25_tapapi1.wav,trainingaudio/25_tapapi2.wav,pngimages/25_apple.png,,,,,,,,,0,26,26,24,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/62_pitako2.wav,novelaudio62_pitako3.wav,pngimages/62_screwdriver.png,,,,,,,,,0,27,27,61,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/66_kopipa3.wav,novelaudio66_kopipa2.wav,pngimages/66_safe.png,,,,,,,,,0,28,28,65,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/28_pipiki1.wav,novelaudio28_pipiki2.wav,pngimages/28_grape.png,,,,,,,,,0,29,29,27,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/30_tikipa3.wav,novelaudio30_tikipa2.wav,pngimages/30_mushroom.png,,,,,,,,,0,30,30,29,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/21_papika1.wav,trainingaudio/21_papika2.wav,pngimages/21_cheese.png,,,,,,,,,0,31,31,20,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/35_titato2.wav,novelaudio35_titato1.wav,pngimages/35_skillet.png,,,,,,,,,0,32,32,34,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/78_kakoka1.wav,novelaudio78_kakoka3.wav,pngimages/78_cow.png,,,,,,,,,0,33,33,77,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/73_takiti1.wav,novelaudio73_takiti2.wav,pngimages/73_car.png,,,,,,,,,0,34,34,72,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/49_tatopi1.wav,novelaudio49_tatopi2.wav,pngimages/49_calculator.png,,,,,,,,,0,35,35,48,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/16_kokapi2.wav,trainingaudio/16_kokapi1.wav,pngimages/16_icecream.png,,,,,,,,,0,36,36,15,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/45_totaka2.wav,novelaudio45_totaka3.wav,pngimages/45_scissors.png,,,,,,,,,0,37,37,44,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/68_pokopo1.wav,novelaudio68_pokopo2.wav,pngimages/68_heart.png,,,,,,,,,0,38,38,67,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/32_kipoto2.wav,novelaudio32_kipoto3.wav,pngimages/32_greenpepper.png,,,,,,,,,0,39,39,31,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/44_pokato2.wav,novelaudio44_pokato1.wav,pngimages/44_envelope.png,,,,,,,,,0,40,40,43,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/60_pipopa3.wav,novelaudio60_pipopa2.wav,pngimages/60_firewood.png,,,,,,,,,0,41,41,59,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/08_tipako2.wav,trainingaudio/08_tipako3.wav,pngimages/08_bell.png,,,,,,,,,0,42,42,7,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/76_patoti1.wav,novelaudio76_patoti2.wav,pngimages/76_rabbit.png,,,,,,,,,0,43,43,75,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/61_pikati2.wav,novelaudio61_pikati1.wav,pngimages/61_key.png,,,,,,,,,0,44,44,60,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/54_kapapa1.wav,novelaudio54_kapapa3.wav,pngimages/54_toiletpaper.png,,,,,,,,,0,45,45,53,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/51_tapopa1.wav,novelaudio51_tapopa3.wav,pngimages/51_pencil.png,,,,,,,,,0,46,46,50,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/26_kapako1.wav,trainingaudio/26_kapako3.wav,pngimages/26_pineapple.png,,,,,,,,,0,47,47,25,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/65_totipo1.wav,novelaudio65_totipo2.wav,pngimages/65_wrench.png,,,,,,,,,0,48,48,64,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/07_pitapi2.wav,trainingaudio/07_pitapi3.wav,pngimages/07_suitcase.png,,,,,,,,,0,49,49,6,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/58_kipoki2.wav,novelaudio58_kipoki1.wav,pngimages/58_nail.png,,,,,,,,,0,50,50,57,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/14_pokoto1.wav,trainingaudio/14_pokoto3.wav,pngimages/14_coffee.png,,,,,,,,,0,51,51,13,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/20_tatito1.wav,trainingaudio/20_tatito2.wav,pngimages/20_pizza.png,,,,,,,,,0,52,52,19,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/42_tokota3.wav,novelaudio42_tokota1.wav,pngimages/42_harp.png,,,,,,,,,0,53,53,41,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/03_kikita3.wav,trainingaudio/03_kikita1.wav,pngimages/03_box.png,,,,,,,,,0,54,54,2,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/34_kipaki2.wav,novelaudio34_kipaki1.wav,pngimages/34_knife.png,,,,,,,,,0,55,55,33,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/69_kotoka3.wav,novelaudio69_kotoka1.wav,pngimages/69_tooth.png,,,,,,,,,0,56,56,68,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/18_popata2.wav,trainingaudio/18_popata1.wav,pngimages/18_donut.png,,,,,,,,,0,57,57,17,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
novelaudio/50_katoko1.wav,novelaudio50_katoko3.wav,pngimages/50_ruler.png,,,,,,,,,0,58,58,49,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
trainingaudio/05_titopo2.wav,trainingaudio/05_titopo3.wav,pngimages/05_megaphone.png,,,,,,,,,0,59,59,4,,,,,,,1,001,2020_Jul_05_2132,sonority,2020.1.3,59.82622111733695,
