firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio2.started,test1Audio2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test2Instr.started,test2Instr.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,12.421113024582155,None,13.830322064924985,None,a,0.7695489535108209,13.830322064924985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.641099424101412,None,a,0.7309707861859351,14.641099424101412,None,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/20_tatito3.wav,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,None,None,None,15.420742164866533,16.42116852896288,16.42078098015627,17.422110592597164,j,1.7556475677993149,17.422110592597164,None,15.45493518630974,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/14_pokoto1.wav,trainingaudio/14_pokoto2.wav,pngimages/14_coffee.png,1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,19.22359576812014,20.224698228063062,20.2231454654946,21.22495007433463,j,1.1401968176942319,21.22495007433463,None,19.22631880408153,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/24_takopa3.wav,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,22.458986626414116,23.459187121712603,23.443781681370456,24.44531783030834,j,0.3157374470029026,24.44531783030834,None,22.45703264675103,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/26_kapako1.wav,trainingaudio/26_kapako2.wav,pngimages/26_pineapple.png,1,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,24.81074972023489,25.8128823711304,25.79741765059298,26.796811407082714,j,0.0759427904849872,26.796811407082714,None,24.8091820810223,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/19_papipi2.wav,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,2,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,26.930089361884168,27.930939748999663,27.8972480790806,28.897641669143923,j,0.1933786707231775,28.897641669143923,None,26.92084362078458,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/15_kopota3.wav,trainingaudio/15_kopota1.wav,pngimages/15_barrel.png,1,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,29.16532949001994,30.164951380807906,30.149749833869283,31.150274066836573,j,0.14368906081654131,31.150274066836573,None,29.160690005868673,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/04_kitoti2.wav,trainingaudio/04_kitoti1.wav,pngimages/04_ladder.png,1,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,31.33376057832502,32.33455644280184,32.31671409705886,33.31887098855805,f,0.16106079006567597,33.31887098855805,None,31.32861105829943,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/16_kotapi2.wav,trainingaudio/16_kotapi1.wav,pngimages/16_icecream.png,1,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,33.518835495947854,34.51950826914981,34.50312111912062,35.50424759311136,f,0.14233090332709253,35.50424759311136,None,33.51660278625786,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/25_tapapi1.wav,trainingaudio/25_tapapi2.wav,pngimages/25_apple.png,1,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,35.68676508174976,36.68827887799125,36.67131478480296,37.6722275482025,j,0.26840658334549516,37.6722275482025,None,35.68210921064019,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/06_titoka2.wav,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,2,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,37.98932964706327,38.9902391632786,38.97332566581899,39.973849521251395,j,0.03334980842191726,39.973849521251395,None,37.989060356630944,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/18_popata2.wav,trainingaudio/18_popata1.wav,pngimages/18_donut.png,1,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,40.04246845587622,41.040682801627554,41.04175951053621,42.04284747131169,f,0.03207434108480811,42.04284747131169,None,40.04506953328382,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/12_pokika1.wav,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,2,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,42.19453640825813,43.21021159237716,43.177542410686144,44.178975857794285,j,0.1444208121392876,44.178975857794285,None,42.18920678237919,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/13_kopopi1.wav,trainingaudio/13_kopopi2.wav,pngimages/13_toast.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,44.36146857708226,45.36227010528091,45.361874249775425,46.36176263692323,f,0.021005187649279833,46.36176263692323,None,44.36475647368934,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/23_patoko2.wav,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,2,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,46.42981671101879,47.43062125972938,47.43017631875118,48.43030824547168,j,0.025403246749192476,48.43030824547168,None,46.431023760698736,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/08_tipako2.wav,trainingaudio/08_tipako1.wav,pngimages/08_bell.png,1,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,48.49781860343646,49.49799523560796,49.498570517415644,50.498669594642706,f,0.07653974543791264,50.498669594642706,None,48.50494989310391,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
