condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,0,0,0,0,0,0,0,0,,,,,11.755427345924545,None,12.349713416199666,None,12.38478915891028,None,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,,,,,,,0,0,0,0,0,1,1,1,,,,,,,13.300373804953416,None,13.302382157038664,None,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,,,,,,0,0,0,0,0,2,2,2,,,,,,,14.301387986890042,None,14.301984564517625,None,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,,,,,,0,0,0,0,0,3,3,3,,,,,,,15.285259435736226,None,15.290337330661714,None,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,,,,,,0,0,0,0,0,4,4,4,,,,,,,16.30283487639972,None,16.295788841729518,None,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,,,,,,0,0,0,0,0,5,5,5,,,,,,,17.303801294349253,None,17.30571468488779,None,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,18.304591193320814,None,18.30262645179755,None,18.30262645179755,None,j,3.2116819712682627,19.289624458178878,None,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,0,0,0,0,,,,,0,1,1,1,,,,,,,22.558893348547283,None,22.554399571061367,None,22.554399571061367,None,j,-0.01467996256542392,23.54292753469781,None,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,0,0,0,0,,,,,0,2,2,2,,,,,,,23.576266028301326,None,23.580987675784854,None,23.580987675784854,None,f,0.6176670039712917,24.577547537424834,None,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,,,,,,,0,1,1,1,0,0,0,0,,,,,,,25.26117714580614,None,25.25449962998391,None,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,,,,,,,0,1,1,1,0,1,1,1,,,,,,,26.277772953145906,None,26.280980501731392,26.280980501731392,,,,,,,,,,,1,001,2020_Jul_19_1829,sonority,2020.1.3,59.999818766338564,
