condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,firstAudio,secondAudio,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,postTestLoop.thisRepN,postTestLoop.thisTrialN,postTestLoop.thisN,postTestLoop.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,train2Response.keys,train2Response.rt,train2Response.started,train2Response.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,threeWarningTest1.started,threeWarningTest1.stopped,fourWarningTest1.started,fourWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,test2Instr.started,test2Instr.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test3Instr.started,test3Instr.stopped,skipTest3Instr.keys,skipTest3Instr.rt,skipTest3Instr.started,skipTest3Instr.stopped,postTestText.started,postTestText.stopped,text.started,text.stopped,quit.keys,quit.rt,quit.started,quit.stopped,participant,session,date,expName,psychopyVersion,frameRate
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3524875,None,12.91944133,None,12.94061523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83632735,None,13.83358015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.83721919,None,14.83364622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.83800532,None,15.83650942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.83880994,None,16.83427489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85634268,None,17.85230098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.87393243,None,18.87402093,None,18.87402093,None,f,1.447752639,19.85858241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.36005165,None,21.35545038,None,21.35545038,None,j,0.987869463,22.34402403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.39521348,None,23.39584812,None,23.39584812,None,j,0.672890456,24.39572994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
