blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blockwords1.ran,audio,imageLoc,participant,session,date,expName,psychopyVersion,OS,frameRate,train1QuestAdvance.keys,train1QuestAdvance.rt,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles,skipTrain2Instr.keys,skipTrain2Instr.rt,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,train2blocks.ran,train2blocks.order,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blockloop2.ran,blockloop2.order
0,0,0,0,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,space,5.358,f,4.095,0,0,0,0,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,f,3.151,0,1,1,1,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,j,1.606,0,2,2,2,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,0,0,0,0,1,aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,space,1.167,j,1.737,0,0,0,0,1,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,j,0.56,0,1,1,1,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,f,2.051,0,2,2,2,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,0,1,1,1,1,aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,Bjoern,001,2020-08-06_11h33.19.176,condition1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
