firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,instructions.started,instructions.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,threeWarningTest1.started,threeWarningTest1.stopped,fourWarningTest1.started,fourWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,17.174207014613785,None,19.10529817349743,None,g,0.6175738859456033,19.10529817349743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
,,,,,,,,,,,,,,,,,,,,,,,,19.76056442258414,None,g,0.8017645097570494,19.76056442258414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/20_tatito3.wav,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,20.660066431504674,21.661346429842524,20.69054700480774,21.694637335720472,21.644914121134207,None,21.644656913192012,22.645437447936274,20.69054700480774,21.694637335720472,21.644914121134207,22.645437447936274,22.645437447936274,None,j,4.196101404493675,22.645437447936274,None,20.69054700480774,None,20.69054700480774,None,20.69054700480774,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/14_pokoto1.wav,trainingaudio/14_pokoto2.wav,pngimages/14_coffee.png,1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,26.915872092288918,27.916342482203618,26.9073681459995,27.916342482203618,27.883425758802332,None,27.883122108480894,28.88404536852613,26.9073681459995,27.916342482203618,27.883425758802332,28.88404536852613,28.88404536852613,None,f,0.7585032099159434,28.88404536852613,None,26.9073681459995,None,26.9073681459995,None,26.9073681459995,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/24_takopa3.wav,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,29.73516381904483,30.73538659152109,29.7300755425822,30.73538659152109,30.719401338370517,None,30.718742762180046,31.719595792354085,29.7300755425822,30.73538659152109,30.719401338370517,31.719595792354085,31.70303661667276,None,j,0.3614122421713546,31.70303661667276,None,29.7300755425822,None,29.7300755425822,None,29.7300755425822,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/26_kapako1.wav,trainingaudio/26_kapako2.wav,pngimages/26_pineapple.png,1,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,32.13732803559396,33.13752543472219,32.13744312222116,33.13752543472219,33.13752543472219,None,33.13752309379633,34.138329681474715,32.13744312222116,33.13752543472219,33.13752543472219,34.138329681474715,34.138329681474715,None,j,0.3870669574243948,34.138329681474715,None,32.13744312222116,None,32.13744312222116,None,32.13744312222116,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/19_papipi2.wav,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,2,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,34.605662048025984,35.606235894956626,34.59975208051037,35.606235894956626,35.59017927898094,None,35.58952825453598,36.59047605737578,34.59975208051037,35.606235894956626,35.59017927898094,36.59047605737578,36.59047605737578,None,f,0.18597355962265283,36.59047605737578,None,34.59975208051037,None,34.59975208051037,None,34.59975208051037,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/15_kopota3.wav,trainingaudio/15_kopota1.wav,pngimages/15_barrel.png,1,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,36.87436080316547,37.87470968766138,36.87368417868856,37.87470968766138,37.85847145540174,None,37.85817611189559,38.85907936026342,36.87368417868856,37.87470968766138,37.85847145540174,38.85907936026342,38.85907936026342,None,j,0.1494475428480655,38.85907936026342,None,36.87368417868856,None,36.87368417868856,None,36.87368417868856,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/04_kitoti2.wav,trainingaudio/04_kitoti1.wav,pngimages/04_ladder.png,1,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,39.05933921129908,40.06025884661358,39.0617899360368,40.07647329126485,40.06025884661358,None,40.05980038824491,41.06087921152357,39.0617899360368,40.07647329126485,40.06025884661358,41.06087921152357,41.06087921152357,None,None,,41.06087921152357,None,39.0617899360368,None,39.0617899360368,None,39.0617899360368,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/16_kotapi2.wav,trainingaudio/16_kotapi1.wav,pngimages/16_icecream.png,1,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,49.11777728858869,50.118150640279055,49.11040910484735,50.118150640279055,50.101871629361995,49.11040910484735,50.10149057495873,51.10240628349129,49.11040910484735,50.118150640279055,50.101871629361995,51.10240628349129,51.10240628349129,49.11040910484735,f,0.20490129862446338,51.10240628349129,49.11040910484735,49.11040910484735,49.11040910484735,49.11040910484735,49.11040910484735,49.11040910484735,49.11040910484735,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
