condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,train2warning10.started,train2warning10.stopped,train2warning5.started,train2warning5.stopped,train2warning4.started,train2warning4.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,imagetrain2.started,imagetrain2.stopped,stimuli1train2.started,stimuli1train2.stopped,stimuli2train2.started,stimuli2train2.stopped,stimuli3train2.started,stimuli3train2.stopped,stimuli4train2.started,stimuli4train2.stopped,stimuli5train2.started,stimuli5train2.stopped,listenTrain2.started,listenTrain2.stopped,train2QuestText.started,train2QuestText.stopped,train2QuestAdvance.keys,train2QuestAdvance.rt,train2QuestAdvance.started,train2QuestAdvance.stopped,stimulitest2.started,stimulitest2.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,train2Response.keys,train2Response.rt,train2Response.started,train2Response.stopped,chooseImageTrain2.started,chooseImageTrain2.stopped,train2F.started,train2F.stopped,train2J.started,train2J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.633148192893714,None,13.902262463932857,None,None,None,None,None,None,None,None,None,None,None,s,5.052594357402995,13.902262463932857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,21.049423434073105,None,21.01731925199274,None,23.01975729104597,None,25.021518327738157,None,27.023072450165635,None,29.024817628297022,None,19.030018048360944,30.042091948445886,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,32.06058321124874,30.066509341355413,32.05962189051788,None,34.06235670808237,None,36.04719646272715,None,38.04899412484374,None,40.05070116741117,None,30.066509341355413,None,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,43.08647996536456,41.08688699756749,43.08558207841124,None,45.0879959522048,None,47.08957310717087,None,49.09127863936592,None,51.092952454905024,None,41.08688699756749,41.08688699756749,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,54.095568334450945,63.102159006753936,54.09467988691758,None,56.0971402032068,None,58.09890048482921,None,60.10051728549879,None,62.10213031058665,None,52.1079276856035,52.1079276856035,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,65.13815302588046,None,65.13710977018346,None,67.13963503038977,None,69.14113402597141,None,71.14301777652,None,73.12797156043817,None,63.13705388829112,63.13705388829112,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,76.14765975438058,74.15431348257698,76.14647754884791,None,78.14883742874954,None,80.15046895525884,None,82.15217259966303,None,84.13720567568672,None,74.15431348257698,74.15431348257698,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,87.17336809588596,85.18019286822528,87.17219872816932,None,89.17463752229233,None,91.17631096041296,None,93.17801535988693,None,95.16296234747861,None,85.18019286822528,85.18019286822528,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,98.16567413252778,107.17203372530639,98.16458292419557,None,100.16717690413353,None,102.16882126822603,None,104.17047318418045,None,106.17205751312432,None,96.1853706331458,96.1853706331458,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,109.17474588798359,118.1813142830506,109.17375587134157,None,111.17622298395727,None,113.17789944258985,None,115.17955022559036,None,117.18105299721938,None,107.19441029429436,107.19441029429436,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
