train1QuestAdvance.keys,train1QuestAdvance.rt,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,participant,session,date,expName,psychopyVersion,OS,frameRate,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles,skipTrain2Instr.keys,train2QuestAdvance.keys,train2Response.keys,train2Response.rt,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,blocktest2.ran,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,train2blocks.ran,train2QuestAdvance.rt,skipTest1Instr.keys,skipTest1Instr.rt,test1Response.keys,test1Response.rt,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test1Loop.ran,firstAudio,secondAudio,imageLoc,whichAudio,skipTest2Instr.keys,skipTest2Instr.rt,test2Response.keys,test2Response.rt,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test2Loop.ran,skipTest3Instr.keys,skipTest3Instr.rt,test3Response.keys,test3Response.rt,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,test3Loop.ran,skipPostTestInstr.keys,skipPostTestInstr.rt,postTestResponse.keys,postTestResponse.rt,postTestLoop.thisRepN,postTestLoop.thisTrialN,postTestLoop.thisN,postTestLoop.thisIndex,postTestLoop.ran,audioA,audioX,audioB,correctLabel,quit.keys,quit.rt
d,0.66368,f,0.92975,0,0,0,0,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,0,0,0,1,aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0.54522,f,0.250205,0,0,0,0,1,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,trainingaudio/03_kikita3.wav,pngimages/03_box.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,1,1,1,1,aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0.519085,f,0.61182,0,0,0,0,1,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,2,2,2,1,aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0.39489,j,0.9378,0,0,0,0,1,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,3,3,3,1,aoiConditions/train1Block4.xlsx,aoiConditions/train1Block4Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0.467535,j,0.1279,0,0,0,0,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,4,4,4,1,aoiConditions/train1Block5.xlsx,aoiConditions/train1Block5Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0.30556,j,0.001325,0,0,0,0,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,5,5,5,1,aoiConditions/train1Block6.xlsx,aoiConditions/train1Block6Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0.255535,f,0.646105,0,0,0,0,1,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,6,6,6,1,aoiConditions/train1Block7.xlsx,aoiConditions/train1Block7Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0.60508,f,2.68373,0,0,0,0,1,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,7,7,7,1,aoiConditions/train1Block8.xlsx,aoiConditions/train1Block8Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.502135,f,0.142865,0,0,0,0,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,8,8,8,1,aoiConditions/train1Block9.xlsx,aoiConditions/train1Block9Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.40565,f,0.82,0,0,0,0,1,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,9,9,9,1,aoiConditions/train1Block10.xlsx,aoiConditions/train1Block10Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.40368,j,0.039775,0,0,0,0,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,10,10,10,1,aoiConditions/train1Block11.xlsx,aoiConditions/train1Block11Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.528535,j,0.090515,0,0,0,0,1,trainingaudio/94_kipipi1.wav,pngimages/94_house.png,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,11,11,11,1,aoiConditions/train1Block12.xlsx,aoiConditions/train1Block12Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.36261,j,0.28828,0,0,0,0,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,0.5,-0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,12,12,12,1,aoiConditions/train1Block13.xlsx,aoiConditions/train1Block13Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,0.37318,f,1.946365,0,0,0,0,1,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,0,13,13,13,1,aoiConditions/train1Block14.xlsx,aoiConditions/train1Block14Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,0.38668,f,0.262415,0,0,0,0,1,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,-0.5,0.5,test,001,2020-08-08_11h15.29.823,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
