condFile,numWords,condFiles,testFiles,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,alltrain2.thisRepN,alltrain2.thisTrialN,alltrain2.thisN,alltrain2.thisIndex,trial2phases.thisRepN,trial2phases.thisTrialN,trial2phases.thisN,trial2phases.thisIndex,train2Words.thisRepN,train2Words.thisTrialN,train2Words.thisN,train2Words.thisIndex,train2Questions.thisRepN,train2Questions.thisTrialN,train2Questions.thisN,train2Questions.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,train2Type.started,train2Type.stopped,skipTrain2Type.keys,skipTrain2Type.started,skipTrain2Type.stopped,train2QuestText.started,train2QuestText.stopped,train2QuestAdvance.keys,train2QuestAdvance.rt,train2QuestAdvance.started,train2QuestAdvance.stopped,skipTrain2Type.rt,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Text.started,test2Text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,skipTest3Instr.keys,skipTest3Instr.rt,skipTest3Instr.started,skipTest3Instr.stopped,test3warning3.started,test3warning3.stopped,test3warning2.started,test3warning2.stopped,test3warning1.started,test3warning1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.104798674117774,None,49.618922082707286,None,j,9.198506290558726,49.618922082707286,None,58.8934376463294,None,j,3.983658304437995,58.8934376463294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.04304534010589,None,j,0.8475857484154403,63.04304534010589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.07136200927198,None,j,0.24151576030999422,64.07136200927198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.43910566205159,None,j,0.20126414066180587,64.43910566205159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block5.xlsx,aoiConditions/train1P1Block5Test.xlsx,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7954897978343,None,j,0.11187604768201709,64.7954897978343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.08146418258548,None,j,3.5036304388195276,65.08146418258548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75427836785093,None,j,0.2038815300911665,68.75427836785093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block8.xlsx,aoiConditions/train1P1Block8Test.xlsx,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.10664051305503,None,j,0.09352222410961986,69.10664051305503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block9.xlsx,aoiConditions/train1P1Block9Test.xlsx,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.35945915337652,None,j,0.06293214112520218,69.35945915337652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block10.xlsx,aoiConditions/train1P1Block10Test.xlsx,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.56599771929905,None,j,0.07170069916173816,69.56599771929905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block11.xlsx,aoiConditions/train1P1Block11Test.xlsx,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7628955161199,None,j,0.11765756458044052,69.7628955161199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block12.xlsx,aoiConditions/train1P1Block12Test.xlsx,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0269679510966,None,j,0.10159867722541094,70.0269679510966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block13.xlsx,aoiConditions/train1P1Block13Test.xlsx,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.28599855024368,None,j,0.20955468155443668,70.28599855024368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block14.xlsx,aoiConditions/train1P1Block14Test.xlsx,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.65557271474972,None,j,0.13110170513391495,70.65557271474972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train1P1LoopCondition.xlsx,two,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
