blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blockwords1.ran,audio,imageLoc,participant,session,date,expName,psychopyVersion,OS,frameRate,train1QuestAdvance.keys,train1QuestAdvance.rt,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles,skipTrain2Instr.keys,skipTrain2Instr.rt,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,train2blocks.ran,train2blocks.order,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blockloop2.ran,blockloop2.order
0,0,0,0,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,comma,4.63132,f,1.49424,0,0,0,0,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,0,0,0,1,aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,0.928085,f,0.61024,0,0,0,0,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,1,1,1,1,aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,h,0.769625,f,0.1027,0,0,0,0,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,2,2,2,1,aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,h,4.454875,j,1.79441,0,0,0,0,1,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,trainingaudio/03_kikita3.wav,pngimages/03_box.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,3,3,3,1,aoiConditions/train1Block4.xlsx,aoiConditions/train1Block4Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,j,0.81007,f,0.276205,0,0,0,0,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,4,4,4,1,aoiConditions/train1Block5.xlsx,aoiConditions/train1Block5Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,j,1.71747,f,1.049195,0,0,0,0,1,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,5,5,5,1,aoiConditions/train1Block6.xlsx,aoiConditions/train1Block6Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,j,2.67755,f,0.237455,0,0,0,0,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,trainingaudio/18_popata2.wav,pngimages/18_donut.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,6,6,6,1,aoiConditions/train1Block7.xlsx,aoiConditions/train1Block7Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,0.96575,f,0.101775,0,0,0,0,1,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,7,7,7,1,aoiConditions/train1Block8.xlsx,aoiConditions/train1Block8Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,1.13752,j,0.759015,0,0,0,0,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,8,8,8,1,aoiConditions/train1Block9.xlsx,aoiConditions/train1Block9Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
