firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,train2warning10.started,train2warning10.stopped,train2warning5.started,train2warning5.stopped,train2warning4.started,train2warning4.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning10.started,test1warning10.stopped,test1warning5.started,test1warning5.stopped,test1warning4.started,test1warning4.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning10.started,test2warning10.stopped,test2warning5.started,test2warning5.stopped,test2warning4.started,test2warning4.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Audio1.started,test2Audio1.stopped,test2Audio1Sound.started,test2Audio1Sound.stopped,test1Audio2Mute.started,test1Audio2Mute.stopped,test2Audio2.started,test2Audio2.stopped,test2Audio2Mute1.started,test2Audio2Mute1.stopped,test2Audio2Sound.started,test2Audio2Sound.stopped,test2Audio2Mute2.started,test2Audio2Mute2.stopped,test2Response.keys,test2Response.rt,test2Response.started,test2Response.stopped,test2Image.started,test2Image.stopped,test2F.started,test2F.stopped,test2J.started,test2J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,101.58531437371857,None,103.22971749398857,None,None,None,None,None,None,None,None,None,None,None,s,0.6119172039907426,103.22971749398857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,2.0034673241898417,103.87129177921452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.87129177921452,None,None,None,None,None,None,None,None,None,None,None,s,1.8174385675229132,105.91018486348912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
novelaudio/61_pikati2.wav,novelaudio/61_pikati1.wav,pngimages/61_key.png,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.91018486348912,None,None,None,None,None,None,None,None,None,None,None,107.80175182367675,None,107.83435947191902,108.83764668996446,108.78527321736328,None,108.78546366905793,None,107.83435947191902,108.83764668996446,108.78527321736328,109.78639312181622,109.78639312181622,None,f,2.987100330647081,109.78639312181622,None,107.83435947191902,None,107.83435947191902,None,107.83435947191902,None,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
novelaudio/41_pototo2.wav,novelaudio/41_pototo1.wav,pngimages/41_piano.png,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.87715878030285,None,112.8760002113413,113.8900594310835,113.85689349193126,None,113.85644469941035,None,112.8760002113413,113.8900594310835,113.85689349193126,114.86069610784762,114.86069610784762,None,j,0.4043878661468625,114.86069610784762,None,112.8760002113413,None,112.8760002113413,None,112.8760002113413,None,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
novelaudio/79_katapi1.wav,novelaudio/79_katapi2.wav,pngimages/79_pig.png,1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.34797072997317,None,115.35148955602199,116.35858429851942,116.34202889236622,None,116.34169186390936,None,115.35148955602199,116.35858429851942,116.34202889236622,117.34253598330542,117.34253598330542,None,f,0.46592409117147326,117.34253598330542,None,115.35148955602199,None,115.35148955602199,None,115.35148955602199,None,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
novelaudio/32_kipoto2.wav,novelaudio/32_kipoto1.wav,pngimages/32_greenpepper.png,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.86048096218146,None,117.86452666460536,118.87731683556922,118.86052204295993,None,118.860554665979,None,117.86452666460536,118.87731683556922,118.86052204295993,119.86175182368606,119.86175182368606,None,f,1.5325927715748549,119.86175182368606,None,117.86452666460536,None,117.86452666460536,None,117.86452666460536,None,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
novelaudio/34_kipaki2.wav,novelaudio/34_kipaki1.wav,pngimages/34_knife.png,1,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.44626466892659,None,121.45133097213693,122.46319153904915,122.44660705910064,None,122.4469908321742,None,121.45133097213693,122.46319153904915,122.44660705910064,123.44757253327407,123.44757253327407,None,f,0.833996994420886,123.44757253327407,None,121.45133097213693,None,121.45133097213693,None,121.45133097213693,None,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
novelaudio/59_tipoko2.wav,novelaudio/59_tipoko3.wav,pngimages/59_umbrella.png,1,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.34927942468785,None,124.34752722340636,125.3490341482684,125.33240096038207,None,125.33274924098514,None,124.34752722340636,125.3490341482684,125.33240096038207,126.3341310354881,126.3341310354881,None,f,1.0702039690222591,126.3341310354881,None,124.34752722340636,None,124.34752722340636,None,124.34752722340636,None,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
novelaudio/54_kapapa1.wav,novelaudio/54_kapapa3.wav,pngimages/54_toiletpaper.png,1,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.46760062510147,None,127.46642098738812,128.46824017143808,128.4521412604954,None,128.4518797480967,None,127.46642098738812,128.46824017143808,128.4521412604954,129.45275218598545,129.45275218598545,None,f,0.16520933085121214,129.45275218598545,None,127.46642098738812,None,127.46642098738812,None,127.46642098738812,None,person,001,2020_Aug_06_1943,sonority,2020.1.3,60.316838521765966,
