condFile,numWords,condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,imagetrain1p1.started,imagetrain1p1.stopped,stimuli1train1p1.started,stimuli1train1p1.stopped,stimuli2train1p1.started,stimuli2train1p1.stopped,stimuli3train1p1.started,stimuli3train1p1.stopped,stimuli4train1p1.started,stimuli4train1p1.stopped,stimuli5train1p1.started,stimuli5train1p1.stopped,listenTrain1p1.started,listenTrain1p1.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,correctFeed.started,correctFeed.stopped,incorrectFeed.started,incorrectFeed.stopped,fFeedback.started,fFeedback.stopped,jFeedback.started,jFeedback.stopped,circle.started,circle.stopped,xTrain.started,xTrain.stopped,train1Instructions.started,train1Instructions.stopped,participant,session,ID Number,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,15.652416484605055,None,16.560405129974242,None,h,0.6798402376589365,16.560405129974242,None,19.329077485046582,None,19.30691382153018,None,21.309437577068458,None,23.31098792720295,None,25.313422951070244,None,27.314223046539702,None,17.3186584978248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,30.334284713171655,39.330589699413395,30.332700380685857,None,32.33521885009541,None,34.337217767178664,None,36.33893689630495,None,38.34102794330975,None,28.343905492831254,28.343905492831254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.34208479427616,None,f,1.1514865010685753,39.34208479427616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,,,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,train1P1,pngimages/17_cracker.png,-0.5,0.5,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.02592399886053,None,41.02602368040243,None,41.02602368040243,None,f,0.010594562656478956,42.02687852521194,None,40.540123710845364,None,42.02687852521194,None,42.02687852521194,None,42.09094921752694,None,42.09094921752694,None,42.09094921752694,None,42.09094921752694,None,42.09094921752694,None,42.09094921752694,None,42.09094921752694,None,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,45.09591290552635,None,45.09493836735201,None,47.09757653013512,None,49.09927149403084,None,51.10089320707775,None,53.086225671469585,None,43.10481930075912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,,,,,,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,56.12209063922637,54.1195008069044,56.12157712822373,None,58.10690090823628,None,60.108818645277644,None,62.11000953772746,None,64.11163880240346,None,54.1195008069044,54.1195008069044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.13034193038183,None,None,,65.13034193038183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,,,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,train1P1,pngimages/05_megaphone.png,-0.5,0.5,0,0,0,0,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.64564304793893,None,65.64716810008395,None,65.64716810008395,None,f,0.2741133061936125,66.64733159294701,None,65.15295151778264,None,66.64733159294701,None,66.64733159294701,None,66.97821505085449,None,66.97821505085449,None,66.97821505085449,None,66.97821505085449,None,66.97821505085449,None,66.97821505085449,None,66.97821505085449,None,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,1000,2020_Sep_09_2059,condition1,2020.1.3,59.96096836173264,
