condFile,numWords,condFiles,testFiles,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,correctFeed.started,correctFeed.stopped,incorrectFeed.started,incorrectFeed.stopped,fFeedback.started,fFeedback.stopped,jFeedback.started,jFeedback.stopped,circle.started,circle.stopped,xTrain.started,xTrain.stopped,train1Instructions.started,train1Instructions.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,train1P1,pngimages/17_cracker.png,-0.5,0.5,0,0,0,0,0,0,0,0,,,,,0,0,0,0,10.874108154326677,None,12.062863799277693,None,s,0.5399593720212579,12.062863799277693,None,12.65466387802735,None,s,0.48589698085561395,12.65466387802735,None,13.724442162597551,None,13.778617223724723,None,13.778617223724723,None,f,0.9950578454881907,14.719944948796183,None,13.227967407554388,None,14.719944948796183,None,14.719944948796183,None,15.777686109766364,None,15.777686109766364,None,15.777686109766364,None,15.777686109766364,None,15.777686109766364,None,15.777686109766364,None,15.777686109766364,None,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,train1P1,pngimages/05_megaphone.png,-0.5,0.5,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,16.771646327804774,None,f,0.4371161893941462,16.771646327804774,None,17.75203387676738,None,17.752010617870837,None,17.752010617870837,None,f,2.259077041875571,18.75148276006803,None,17.265918805263937,None,18.75148276006803,None,18.75148276006803,None,21.0581213850528,None,21.0581213850528,None,21.0581213850528,None,21.0581213850528,None,21.0581213850528,None,21.0581213850528,None,21.0581213850528,None,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,train1P1,pngimages/03_box.png,0.5,-0.5,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,22.05321887601167,None,f,0.4465779857710004,22.05321887601167,None,23.067851867573335,None,23.072636722121388,None,23.072636722121388,None,j,0.22363580064848065,24.06945220613852,None,22.570239839609712,None,24.06945220613852,None,24.06945220613852,None,24.380627086386085,None,24.380627086386085,None,24.380627086386085,None,24.380627086386085,None,24.380627086386085,None,24.380627086386085,None,24.380627086386085,None,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,train1P1,pngimages/25_apple.png,0.5,-0.5,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,25.35566031327471,None,s,0.3901715730316937,25.35566031327471,None,26.302109015220775,None,26.30081066628918,None,26.30081066628918,None,j,0.7260364592075348,27.31678837351501,None,25.810278503689915,None,27.31678837351501,None,27.31678837351501,None,28.10915104765445,None,28.10915104765445,None,28.10915104765445,None,28.10915104765445,None,28.10915104765445,None,28.10915104765445,None,28.10915104765445,None,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block5.xlsx,aoiConditions/train1P1Block5Test.xlsx,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,train1P1,pngimages/12_pie.png,0.5,-0.5,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,29.085308710113168,None,1,0.3966965456493199,29.085308710113168,None,30.031882769009098,None,30.03153025964275,None,30.03153025964275,None,j,0.8319214330986142,31.03176020598039,None,29.536340260878205,None,31.03176020598039,None,31.03176020598039,None,31.919183745980263,None,31.919183745980263,None,31.919183745980263,None,31.919183745980263,None,31.919183745980263,None,31.919183745980263,None,31.919183745980263,None,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block5.xlsx,aoiConditions/train1P1Block5Test.xlsx,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_21_1050,condition1,2020.1.3,60.16201059446086,
