firstAudio,secondAudio,imageLoc,whichAudio,currentPhase,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,instructions.started,instructions.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Text.started,test2Text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,test2Audio1.started,test2Audio1.stopped,test2Audio1Sound.started,test2Audio1Sound.stopped,test1Audio2Mute.started,test1Audio2Mute.stopped,test2Audio2.started,test2Audio2.stopped,test2Audio2Mute1.started,test2Audio2Mute1.stopped,test2Audio2Sound.started,test2Audio2Sound.stopped,test2Audio2Mute2.started,test2Audio2Mute2.stopped,test2Response.keys,test2Response.rt,test2Response.started,test2Response.stopped,test2Image.started,test2Image.stopped,test2F.started,test2F.stopped,test2J.started,test2J.stopped,test2Instr.started,test2Instr.stopped,skipTest3Instr.keys,skipTest3Instr.started,skipTest3Instr.stopped,test3warning3.started,test3warning3.stopped,test3warning2.started,test3warning2.stopped,test3warning1.started,test3warning1.stopped,test3Audio1.started,test3Audio1.stopped,test3Audio1Sound.started,test3Audio1Sound.stopped,test3Audio1Mute.started,test3Audio1Mute.stopped,test3Audio2.started,test3Audio2.stopped,test3Audio2Mute1.started,test3Audio2Mute1.stopped,test3Audio2Sound.started,test3Audio2Sound.stopped,test3Audio2Mute2.started,test3Audio2Mute2.stopped,test3Response.keys,test3Response.rt,test3Response.started,test3Response.stopped,test3Image.started,test3Image.stopped,test3F.started,test3F.stopped,test3J.started,test3J.stopped,test3Instr.started,test3Instr.stopped,participant,ID Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,27.513480419060215,None,k,0.5340178384212777,28.972027243231423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,28.972027243231423,None,None,None,None,None,29.531451793736778,None,n,1.1410860153846443,29.531451793736778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1.8122705719433725,30.747172480099835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.747172480099835,None,None,None,None,None,32.59232285944745,None,pound,9.025829225894995,32.59232285944745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/67_tokoki1.wav,novelaudio/67_tokoki2.wav,pngimages/67_laptop.png,1,test2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.27619778325315,None,42.277267623110674,43.27730273816269,43.27730273816269,None,44.2822047293419,None,42.277267623110674,44.27828407275956,44.27828407275956,45.30205963226035,45.30205963226035,None,f,0.849854668835178,45.30205963226035,None,41.8619233102072,None,45.30205963226035,None,45.30205963226035,None,41.8619233102072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/49_tatopi3.wav,novelaudio/49_tatopi1.wav,pngimages/49_calculator.png,2,test2,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.797367274365385,None,46.797196003375575,47.80005354108289,47.80005354108289,None,48.79839542910922,None,46.797196003375575,48.80015435535461,48.80015435535461,49.80165901815053,49.80165901815053,None,j,0.18263283127453178,49.80165901815053,None,46.316878200508654,None,49.80165901815053,None,49.80165901815053,None,46.316878200508654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/59_tipoko2.wav,novelaudio/59_tipoko3.wav,pngimages/59_umbrella.png,1,test2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5842013053596,None,50.58361205155961,51.584343804745004,51.584343804745004,None,52.58488699358422,None,50.58361205155961,52.58634423208423,52.58634423208423,53.588507019681856,53.588507019681856,None,f,0.23513442277908325,53.588507019681856,None,50.10213318513706,None,53.588507019681856,None,53.588507019681856,None,50.10213318513706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/45_totaka2.wav,novelaudio/45_totaka1.wav,pngimages/45_scissors.png,1,test2,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.50288419502321,None,54.505535724107176,55.520826269406825,55.505980137735605,None,56.50718560472596,None,54.505535724107176,56.507333390181884,56.507333390181884,57.506021294160746,57.506021294160746,None,f,0.07912260596640408,57.506021294160746,None,54.01092796726152,None,57.506021294160746,None,57.506021294160746,None,54.01092796726152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/35_titato2.wav,novelaudio/35_titato1.wav,pngimages/35_skillet.png,1,test2,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.18920373318251,None,58.19089393957984,59.19398331246339,59.19398331246339,None,60.177376744174396,None,58.19089393957984,60.19335992517881,60.174929411150515,61.17646730109118,61.19237708020955,None,f,0.22332366975024343,61.19237708020955,None,57.69925963797141,None,61.19237708020955,None,61.19237708020955,None,57.69925963797141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/39_kotipa1.wav,novelaudio/39_kotipa3.wav,pngimages/39_fork.png,2,test2,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.02852651798166,None,62.026551917078905,63.028409618651494,63.028409618651494,None,64.02774265846237,None,62.026551917078905,64.03043043555226,64.03043043555226,65.03096471354365,65.03096471354365,None,j,1.8085815995000303,65.03096471354365,None,61.52504045784008,None,65.03096471354365,None,65.03096471354365,None,61.52504045784008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
